id,produto,quantidade,preço,data
1,Jaqueta de Inverno,3,99.90,01/01/2023
2,Calça de Moletom,6,45.00,02/01/2023
3,Tênis Esportivo,4,120.00,03/01/2023
4,Meia Esportiva,15,7.50,04/01/2023
5,Cinto de Couro Legítimo,10,25.00,05/01/2023
6,Camiseta Estampada,8,20.00,06/01/2023
7,Shorts de Praia,5,35.00,07/01/2023
8,Sapato Social,2,150.00,08/01/2023
9,Boné Snapback,12,15.00,09/01/2023
10,Jaqueta Corta-Vento,3,79.99,10/01/2023
11,Mala de Viagem,7,65.00,11/01/2023
12,Livro de Ficção Científica,20,12.00,12/01/2023
13,Caderno Universitário,15,5.00,13/01/2023
14,Caneta Esferográfica,50,0.75,14/01/2023
15,Borracha Branca,30,0.50,15/01/2023
16,Tubo de Cola Branca,10,3.00,16/01/2023
17,Régua Plástica,20,2.00,17/01/2023
18,Estojo Escolar,10,8.00,18/01/2023
19,Papel Sulfite A4,500,20.00,19/01/2023
20,Pasta Executiva,5,45.00,20/01/2023
21,Fone de Ouvido Bluetooth,10,60.00,21/01/2023
22,Mouse Óptico,8,20.00,22/01/2023
23,Carregador Portátil,6,30.00,23/01/2023
24,Cabo USB,10,5.00,24/01/2023
25,Bateria Recarregável,20,3.00,25/01/2023
26,Luminária de Mesa LED,4,35.00,26/01/2023
27,Relógio de Pulso,8,25.00,27/01/2023
28,Porta-Retrato,3,15.00,28/01/2023
29,Aspirador de Pó,1,120.00,29/01/2023
30,Balança Digital,2,40.00,30/01/2023
31,Furadeira Elétrica,1,80.00,31/01/2023
